,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
8,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,DOM,BLOCK,0,0,13755,
9,16,Peña Isabel Yonkaira Paola ,OH,0,0,2,2,0.00,DOM,BLOCK,0,0,13755,
10,17,Mambru Casilla Gina Altagracia ,O,0,1,1,2,-50.00,DOM,BLOCK,0,0,13755,
11,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,DOM,BLOCK,0,0,13755,
12,23,Gonzalez Lopez Gaila Ceneida ,O,0,0,3,3,0.00,DOM,BLOCK,0,0,13755,
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,DOM,BLOCK,0,0,13755,
0,21,Martinez Jineiry ,MB,3,0,2,5,60.00,DOM,BLOCK,1,21,13755,0
1,24,Gonzalez Geraldine Sthefany ,MB,1,1,1,3,0.00,DOM,BLOCK,1,21,13755,0
2,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,DOM,BLOCK,1,21,13755,0
3,3,Rabit Esthefany ,L,0,0,0,0,,DOM,BLOCK,1,21,13755,0
4,4,Peralta Luna Vielka Michelle ,OH,0,0,0,0,,DOM,BLOCK,1,21,13755,0
5,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,DOM,BLOCK,1,21,13755,0
6,7,Marte Frica Niverka Dharlenis (C),S,0,0,1,1,0.00,DOM,BLOCK,1,21,13755,0
7,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,DOM,BLOCK,1,21,13755,0
8,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,DOM,BLOCK,1,21,13755,0
9,16,Peña Isabel Yonkaira Paola ,OH,0,0,1,1,0.00,DOM,BLOCK,1,21,13755,0
10,17,Mambru Casilla Gina Altagracia ,O,0,0,0,0,,DOM,BLOCK,1,21,13755,0
11,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,DOM,BLOCK,1,21,13755,0
12,23,Gonzalez Lopez Gaila Ceneida ,O,0,0,1,1,0.00,DOM,BLOCK,1,21,13755,0
