,,Total Score,Match1,Match2,Match3,Match4,Match5
TUR,BRA,0:0,0:0,0:0,0:0,0:0,0:0
TUR,BUL,0:0,0:0,0:0,0:0,0:0,0:0
TUR,CAN,0:0,0:0,0:0,0:0,0:0,0:0
TUR,CHN,1:3,16-25,25-20,16-25,22-25,-
TUR,DOM,0:0,0:0,0:0,0:0,0:0,0:0
TUR,GER,0:0,0:0,0:0,0:0,0:0,0:0
TUR,ITA,0:3,18-25,26-28,22-25,-,-
TUR,JPN,3:1,25-20,25-15,18-25,25-22,-
TUR,KOR,3:1,20-25,25-13,25-19,25-15,-
TUR,NED,3:0,25-23,25-11,25-21,-,-
TUR,POL,0:0,0:0,0:0,0:0,0:0,0:0
TUR,SRB,0:3,25-27,17-25,24-26,-,-
TUR,THA,3:1,23-25,25-15,25-18,25-21,-
TUR,TUR,0:0,0:0,0:0,0:0,0:0,0:0
TUR,USA,2:3,22-25,25-18,25-27,25-23,16-18
USA,BEL,0:0,0:0,0:0,0:0,0:0,0:0
USA,BRA,3:0,25-21,25-20,25-18,-,-
USA,BUL,0:0,0:0,0:0,0:0,0:0,0:0
USA,CAN,3:0,25-14,25-22,25-19,-,-
USA,CHN,3:0,25-21,25-23,25-21,-,-
USA,DOM,3:0,25-21,25-17,25-18,-,-
USA,GER,3:1,25-17,25-13,13-25,25-22,-
USA,ITA,0:0,0:0,0:0,0:0,0:0,0:0
USA,JPN,0:0,0:0,0:0,0:0,0:0,0:0
USA,KOR,0:0,0:0,0:0,0:0,0:0,0:0
USA,NED,0:0,0:0,0:0,0:0,0:0,0:0
USA,POL,0:0,0:0,0:0,0:0,0:0,0:0
USA,SRB,2:3,27-29,23-25,25-20,25-20,13-15
USA,THA,0:0,0:0,0:0,0:0,0:0,0:0
USA,TUR,0:0,0:0,0:0,0:0,0:0,0:0
USA,USA,0:0,0:0,0:0,0:0,0:0,0:0
