num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
13825,0,POL,,46,25,22,26,46,11,11,4,4,11,0.969
13825,1,ITA,0.0,15,5,11,3,10,1,8,2,1,6,0.941
13825,1,POL,1.0,12,8,4,7,10,2,3,1,2,1,1.0
13825,2,ITA,1.0,14,6,3,5,15,3,2,1,1,4,1.0
13825,2,POL,0.0,9,6,8,8,11,3,4,1,1,3,0.935
13825,3,ITA,1.0,19,7,7,5,12,5,1,1,0,5,1.0
13825,3,POL,0.0,13,5,7,6,11,3,3,0,1,4,0.943
13825,4,ITA,1.0,14,1,10,6,14,2,3,0,2,3,0.893
13825,4,POL,0.0,12,6,3,5,14,3,1,2,0,3,1.0
13826,0,NED,,31,12,11,12,24,9,31,4,0,7,0.038
13826,0,TUR,,47,17,22,16,39,2,25,0,5,5,0.069
13826,1,NED,0.0,16,5,2,5,8,2,9,1,0,2,0.07
13826,1,TUR,1.0,17,3,9,7,12,1,10,0,1,3,0.108
13826,2,NED,0.0,4,3,3,3,8,3,8,2,0,2,0.0
13826,2,TUR,1.0,14,6,5,3,15,0,6,0,3,1,0.037
13826,3,NED,0.0,11,4,6,4,8,4,14,1,0,3,0.029
13826,3,TUR,1.0,16,8,8,6,12,1,9,0,1,1,0.054
13828,0,SRB,,44,21,20,17,27,5,37,4,4,8,0.063
13828,0,USA,,48,10,16,15,43,11,28,4,5,4,0.149
13828,1,SRB,0.0,11,8,8,4,8,1,12,0,1,3,0.0
13828,1,USA,1.0,14,2,7,5,16,3,8,1,0,1,0.172
13828,2,SRB,0.0,21,6,9,9,8,1,14,2,3,2,0.121
13828,2,USA,1.0,22,5,5,8,11,4,13,3,2,2,0.189
13828,3,SRB,0.0,12,7,3,4,11,3,11,2,0,3,0.071
13828,3,USA,1.0,12,3,4,2,16,4,7,0,3,1,0.071
13829,0,DOM,,64,17,24,19,48,15,16,6,4,11,0.956
