Unnamed: 0,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
2,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
3,4,Bosio Francesca ,S,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
5,11,Danesi Anna ,MB,0,0,2,2,0.0,ITA,BLOCK,5,15,16026,1.0
6,12,Mazzaro Alessia ,MB,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
7,15,Nwakalor Sylvia Chinelo ,O,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,BLOCK,5,15,16026,1.0
0,12,Bamrungsuk Hattaya ,MB,3,6,8,17,-17.65,THA,BLOCK,0,0,16026,
1,5,Nuekjang Thatdao ,MB,2,5,9,16,-18.75,THA,BLOCK,0,0,16026,
2,18,Kongyot Ajcharaporn ,OH,2,2,0,4,0.0,THA,BLOCK,0,0,16026,
3,1,Srithong Wipawee ,OH,0,0,0,0,,THA,BLOCK,0,0,16026,
4,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,BLOCK,0,0,16026,
5,3,Guedpard Pornpun ,S,0,2,2,4,-50.0,THA,BLOCK,0,0,16026,
6,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,BLOCK,0,0,16026,
7,16,Kokram Pimpichaya ,O,0,1,3,4,-25.0,THA,BLOCK,0,0,16026,
8,17,Janthawisut Sasipapron ,OH,0,2,1,3,-66.67,THA,BLOCK,0,0,16026,
9,19,Moksri Chatchu-On ,OH,0,1,1,2,-50.0,THA,BLOCK,0,0,16026,
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,BLOCK,0,0,16026,
11,21,Sooksod Thanacha ,O,0,2,1,3,-66.67,THA,BLOCK,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,BLOCK,0,0,16026,
0,12,Bamrungsuk Hattaya ,MB,2,3,2,7,-14.29,THA,BLOCK,1,26,16026,1.0
1,18,Kongyot Ajcharaporn ,OH,1,0,0,1,100.0,THA,BLOCK,1,26,16026,1.0
2,1,Srithong Wipawee ,OH,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
3,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
4,3,Guedpard Pornpun ,S,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
5,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
6,5,Nuekjang Thatdao ,MB,0,2,2,4,-50.0,THA,BLOCK,1,26,16026,1.0
7,16,Kokram Pimpichaya ,O,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
8,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
9,19,Moksri Chatchu-On ,OH,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
11,21,Sooksod Thanacha ,O,0,1,0,1,-100.0,THA,BLOCK,1,26,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,BLOCK,1,26,16026,1.0
0,5,Nuekjang Thatdao ,MB,1,1,1,3,0.0,THA,BLOCK,2,17,16026,0.0
1,1,Srithong Wipawee ,OH,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
2,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
3,3,Guedpard Pornpun ,S,0,1,1,2,-50.0,THA,BLOCK,2,17,16026,0.0
4,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
5,12,Bamrungsuk Hattaya ,MB,0,1,0,1,-100.0,THA,BLOCK,2,17,16026,0.0
6,16,Kokram Pimpichaya ,O,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
7,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
8,18,Kongyot Ajcharaporn ,OH,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
9,19,Moksri Chatchu-On ,OH,0,1,1,2,-50.0,THA,BLOCK,2,17,16026,0.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,BLOCK,2,17,16026,0.0
0,18,Kongyot Ajcharaporn ,OH,1,1,0,2,0.0,THA,BLOCK,3,29,16026,1.0
1,1,Srithong Wipawee ,OH,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
2,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
3,3,Guedpard Pornpun ,S,0,0,1,1,0.0,THA,BLOCK,3,29,16026,1.0
4,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
5,5,Nuekjang Thatdao ,MB,0,1,1,2,-50.0,THA,BLOCK,3,29,16026,1.0
6,12,Bamrungsuk Hattaya ,MB,0,1,2,3,-33.33,THA,BLOCK,3,29,16026,1.0
7,16,Kokram Pimpichaya ,O,0,0,2,2,0.0,THA,BLOCK,3,29,16026,1.0
8,17,Janthawisut Sasipapron ,OH,0,1,1,2,-50.0,THA,BLOCK,3,29,16026,1.0
9,19,Moksri Chatchu-On ,OH,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,BLOCK,3,29,16026,1.0
0,5,Nuekjang Thatdao ,MB,1,0,3,4,25.0,THA,BLOCK,4,28,16026,0.0
1,12,Bamrungsuk Hattaya ,MB,1,1,2,4,0.0,THA,BLOCK,4,28,16026,0.0
2,1,Srithong Wipawee ,OH,0,0,0,0,,THA,BLOCK,4,28,16026,0.0
3,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,BLOCK,4,28,16026,0.0
