Unnamed: 0,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
2,2,Degradi Alice Carlotta ,OH,1,0,2,50.0,ITA,DIG,2,25,16026,1.0
3,4,Bosio Francesca ,S,1,1,4,0.0,ITA,DIG,2,25,16026,1.0
4,15,Nwakalor Sylvia Chinelo ,O,1,1,2,0.0,ITA,DIG,2,25,16026,1.0
5,5,Battistoni Ilaria ,S,0,0,0,,ITA,DIG,2,25,16026,1.0
6,11,Danesi Anna ,MB,0,0,0,,ITA,DIG,2,25,16026,1.0
7,12,Mazzaro Alessia ,MB,0,0,0,,ITA,DIG,2,25,16026,1.0
8,16,D'Odorico Sofia ,OH,0,0,0,,ITA,DIG,2,25,16026,1.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,,ITA,DIG,2,25,16026,1.0
10,19,Squarcini Federica ,MB,0,0,0,,ITA,DIG,2,25,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,,ITA,DIG,2,25,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,,ITA,DIG,2,25,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,,ITA,DIG,2,25,16026,1.0
0,21,Omoruyi Oghosasere Loveth ,OH,7,0,7,100.0,ITA,DIG,3,27,16026,0.0
1,20,Parrocchiale Beatrice ,L,6,3,11,27.27,ITA,DIG,3,27,16026,0.0
2,4,Bosio Francesca ,S,2,2,4,0.0,ITA,DIG,3,27,16026,0.0
3,2,Degradi Alice Carlotta ,OH,1,1,2,0.0,ITA,DIG,3,27,16026,0.0
4,16,D'Odorico Sofia ,OH,1,0,1,100.0,ITA,DIG,3,27,16026,0.0
5,19,Squarcini Federica ,MB,1,0,1,100.0,ITA,DIG,3,27,16026,0.0
6,32,Malual Adhuoljok John Majak ,O,1,0,1,100.0,ITA,DIG,3,27,16026,0.0
7,5,Battistoni Ilaria ,S,0,0,0,,ITA,DIG,3,27,16026,0.0
8,11,Danesi Anna ,MB,0,1,1,-100.0,ITA,DIG,3,27,16026,0.0
9,12,Mazzaro Alessia ,MB,0,1,1,-100.0,ITA,DIG,3,27,16026,0.0
10,15,Nwakalor Sylvia Chinelo ,O,0,0,0,,ITA,DIG,3,27,16026,0.0
11,17,Sylla Myriam Fatime (C),OH,0,0,0,,ITA,DIG,3,27,16026,0.0
12,22,Panetoni Sara ,L,0,0,0,,ITA,DIG,3,27,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,,ITA,DIG,3,27,16026,0.0
0,21,Omoruyi Oghosasere Loveth ,OH,4,1,5,60.0,ITA,DIG,4,30,16026,1.0
