Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
4,15,Nwakalor Sylvia Chinelo ,O,2,2,3,7,0.0,ITA,ATTACK,3,27,16026,0.0
5,21,Omoruyi Oghosasere Loveth ,OH,2,2,5,9,0.0,ITA,ATTACK,3,27,16026,0.0
6,16,D'Odorico Sofia ,OH,1,0,2,3,33.33,ITA,ATTACK,3,27,16026,0.0
7,4,Bosio Francesca ,S,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
8,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
11,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
12,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,3,27,16026,0.0
0,15,Nwakalor Sylvia Chinelo ,O,9,0,5,14,64.29,ITA,ATTACK,4,30,16026,1.0
1,16,D'Odorico Sofia ,OH,5,1,5,11,36.36,ITA,ATTACK,4,30,16026,1.0
2,21,Omoruyi Oghosasere Loveth ,OH,4,1,4,9,33.33,ITA,ATTACK,4,30,16026,1.0
3,4,Bosio Francesca ,S,1,0,0,1,100.0,ITA,ATTACK,4,30,16026,1.0
4,11,Danesi Anna ,MB,1,0,2,3,33.33,ITA,ATTACK,4,30,16026,1.0
5,12,Mazzaro Alessia ,MB,1,0,1,2,50.0,ITA,ATTACK,4,30,16026,1.0
6,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
7,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,3,1,4,-75.0,ITA,ATTACK,4,30,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,4,30,16026,1.0
0,21,Omoruyi Oghosasere Loveth ,OH,4,0,3,7,57.14,ITA,ATTACK,5,15,16026,1.0
1,16,D'Odorico Sofia ,OH,2,0,0,2,100.0,ITA,ATTACK,5,15,16026,1.0
2,11,Danesi Anna ,MB,1,1,0,2,0.0,ITA,ATTACK,5,15,16026,1.0
3,15,Nwakalor Sylvia Chinelo ,O,1,0,4,5,20.0,ITA,ATTACK,5,15,16026,1.0
4,2,Degradi Alice Carlotta ,OH,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
5,4,Bosio Francesca ,S,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
6,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
7,12,Mazzaro Alessia ,MB,0,0,1,1,0.0,ITA,ATTACK,5,15,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
